Module                  Size  Used by
usbhid                 77824  0
xfrm_user              65536  1
xfrm_algo              16384  1 xfrm_user
xt_set                 20480  0
ip_set                 61440  1 xt_set
xt_addrtype            12288  4
vboxnetadp             28672  0
vboxnetflt             32768  0
vboxdrv               696320  2 vboxnetadp,vboxnetflt
ccm                    20480  3
rfcomm                102400  4
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
xt_CHECKSUM            12288  1
xt_MASQUERADE          16384  4
xt_conntrack           12288  2
ipt_REJECT             12288  2
nf_reject_ipv4         12288  1 ipt_REJECT
xt_tcpudp              16384  0
nft_compat             20480  13
nft_chain_nat          12288  6
nf_nat                 61440  2 nft_chain_nat,xt_MASQUERADE
nf_conntrack          200704  3 xt_conntrack,nf_nat,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
nf_tables             385024  211 nft_compat,nft_chain_nat
bridge                421888  0
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
overlay               217088  0
cmac                   12288  2
algif_hash             16384  1
algif_skcipher         16384  1
af_alg                 32768  6 algif_hash,algif_skcipher
snd_ctl_led            24576  0
snd_hda_codec_realtek   212992  1
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
snd_hda_scodec_component    20480  1 snd_hda_codec_realtek
qrtr                   53248  2
bnep                   32768  2
snd_sof_pci_intel_icl    12288  0
snd_sof_pci_intel_cnl    20480  1 snd_sof_pci_intel_icl
snd_sof_intel_hda_generic    36864  2 snd_sof_pci_intel_icl,snd_sof_pci_intel_cnl
soundwire_intel        77824  1 snd_sof_intel_hda_generic
soundwire_cadence      45056  1 soundwire_intel
snd_sof_intel_hda_common   188416  3 snd_sof_pci_intel_icl,snd_sof_intel_hda_generic,snd_sof_pci_intel_cnl
snd_soc_hdac_hda       24576  1 snd_sof_intel_hda_common
snd_sof_intel_hda_mlink    45056  3 soundwire_intel,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_sof_intel_hda      24576  2 snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_hda_codec_hdmi     98304  1
snd_sof_pci            24576  3 snd_sof_pci_intel_icl,snd_sof_intel_hda_generic,snd_sof_pci_intel_cnl
snd_sof_xtensa_dsp     12288  1 snd_sof_intel_hda_generic
snd_sof               393216  6 snd_sof_pci,snd_sof_pci_intel_icl,snd_sof_intel_hda_common,snd_sof_intel_hda_generic,snd_sof_intel_hda,snd_sof_pci_intel_cnl
snd_sof_utils          16384  1 snd_sof
intel_uncore_frequency    12288  0
snd_soc_acpi_intel_match   131072  3 snd_sof_pci_intel_icl,snd_sof_intel_hda_generic,snd_sof_pci_intel_cnl
intel_uncore_frequency_common    16384  1 intel_uncore_frequency
snd_soc_acpi_intel_sdca_quirks    12288  1 snd_soc_acpi_intel_match
intel_pmc_core_pltdrv    12288  0
soundwire_generic_allocation    24576  1 soundwire_intel
intel_pmc_core        122880  0
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_sof_intel_hda_generic
pmt_telemetry          16384  1 intel_pmc_core
soundwire_bus         126976  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
pmt_class              16384  1 pmt_telemetry
snd_soc_sdca           12288  2 snd_soc_acpi_intel_sdca_quirks,soundwire_bus
intel_vsec             20480  1 intel_pmc_core
snd_soc_avs           200704  0
intel_tcc_cooling      12288  0
x86_pkg_temp_thermal    20480  0
snd_soc_hda_codec      24576  1 snd_soc_avs
intel_powerclamp       24576  0
snd_hda_ext_core       32768  6 snd_soc_avs,snd_soc_hda_codec,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_sof_intel_hda
coretemp               24576  0
snd_soc_core          425984  6 snd_soc_avs,snd_soc_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hda
snd_compress           36864  2 snd_soc_avs,snd_soc_core
ac97_bus               12288  1 snd_soc_core
kvm_intel             487424  0
snd_pcm_dmaengine      16384  1 snd_soc_core
binfmt_misc            24576  1
snd_hda_intel          61440  1
kvm                  1425408  1 kvm_intel
snd_intel_dspcfg       45056  5 snd_soc_avs,snd_hda_intel,snd_sof,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
nls_iso8859_1          12288  1
snd_intel_sdw_acpi     16384  2 snd_intel_dspcfg,snd_sof_intel_hda_generic
